type,startTime,endTime,value
HeartRate,2024-12-03T17:31:00.000Z,2024-12-03T17:31:00.000Z,"[{'beatsPerMinute': 70, 'time': '2024-12-03T17:31:00.000Z'}]"
HeartRate,2024-12-04T18:16:00.000Z,2024-12-04T18:16:00.000Z,"[{'beatsPerMinute': 69, 'time': '2024-12-04T18:16:00.000Z'}]"
Steps,2024-12-01T03:32:14.000Z,2024-12-01T03:33:14.000Z,7
Steps,2024-12-01T03:35:42.000Z,2024-12-01T03:36:42.000Z,21
Steps,2024-12-01T04:00:51.000Z,2024-12-01T04:01:51.000Z,18
Steps,2024-12-01T06:12:29.000Z,2024-12-01T06:13:47.000Z,39
Steps,2024-12-01T06:35:56.000Z,2024-12-01T06:36:56.000Z,22
Steps,2024-12-03T13:55:39.000Z,2024-12-03T13:56:39.000Z,15
Steps,2024-12-03T13:56:39.000Z,2024-12-03T13:56:47.000Z,16
Steps,2024-12-03T13:56:47.000Z,2024-12-03T13:57:49.000Z,110
Steps,2024-12-03T13:57:49.000Z,2024-12-03T13:58:57.000Z,126
Steps,2024-12-03T13:59:00.000Z,2024-12-03T13:59:33.000Z,56
Steps,2024-12-03T13:59:33.000Z,2024-12-03T14:00:30.000Z,100
Steps,2024-12-03T14:00:30.000Z,2024-12-03T14:01:34.000Z,38
Steps,2024-12-03T14:01:34.000Z,2024-12-03T14:02:12.000Z,68
Steps,2024-12-03T14:02:12.000Z,2024-12-03T14:02:54.000Z,76
Steps,2024-12-03T14:02:54.000Z,2024-12-03T14:03:16.000Z,37
Steps,2024-12-03T14:03:16.000Z,2024-12-03T14:03:34.000Z,32
Steps,2024-12-03T14:03:34.000Z,2024-12-03T14:03:54.000Z,37
Steps,2024-12-03T14:03:54.000Z,2024-12-03T14:04:21.000Z,50
Steps,2024-12-03T14:04:21.000Z,2024-12-03T14:04:56.000Z,65
Steps,2024-12-03T14:04:56.000Z,2024-12-03T14:05:38.000Z,79
Steps,2024-12-03T14:05:38.000Z,2024-12-03T14:05:57.000Z,25
Steps,2024-12-03T14:06:00.000Z,2024-12-03T14:07:00.000Z,8
Steps,2024-12-03T14:07:01.000Z,2024-12-03T14:08:01.000Z,13
Steps,2024-12-03T14:08:01.000Z,2024-12-03T14:08:16.000Z,24
Steps,2024-12-03T14:08:16.000Z,2024-12-03T14:09:11.000Z,10
Steps,2024-12-03T14:09:18.000Z,2024-12-03T14:10:18.000Z,24
Steps,2024-12-03T14:10:18.000Z,2024-12-03T14:11:30.000Z,108
Steps,2024-12-03T14:11:31.000Z,2024-12-03T14:12:31.000Z,8
Steps,2024-12-03T14:12:31.000Z,2024-12-03T14:13:24.000Z,16
Steps,2024-12-03T14:14:56.000Z,2024-12-03T14:16:14.000Z,39
Steps,2024-12-03T14:16:14.000Z,2024-12-03T14:16:43.000Z,51
Steps,2024-12-03T14:16:43.000Z,2024-12-03T14:17:14.000Z,52
Steps,2024-12-03T14:17:14.000Z,2024-12-03T14:17:44.000Z,54
Steps,2024-12-03T14:17:44.000Z,2024-12-03T14:18:15.000Z,59
Steps,2024-12-03T14:18:15.000Z,2024-12-03T14:18:44.000Z,57
Steps,2024-12-03T14:18:44.000Z,2024-12-03T14:19:15.000Z,57
Steps,2024-12-03T14:19:15.000Z,2024-12-03T14:19:44.000Z,55
Steps,2024-12-03T14:19:44.000Z,2024-12-03T14:19:57.000Z,21
Steps,2024-12-03T14:19:57.000Z,2024-12-03T14:20:36.000Z,20
Steps,2024-12-03T14:20:51.000Z,2024-12-03T14:21:57.000Z,33
Steps,2024-12-03T14:21:57.000Z,2024-12-03T14:22:29.000Z,20
Steps,2024-12-03T14:23:00.000Z,2024-12-03T14:24:00.000Z,9
Steps,2024-12-03T14:35:28.000Z,2024-12-03T14:36:28.000Z,6
Steps,2024-12-03T18:27:42.000Z,2024-12-03T18:28:42.000Z,6
Steps,2024-12-03T18:38:40.000Z,2024-12-03T18:39:40.000Z,6
Steps,2024-12-04T03:36:36.000Z,2024-12-04T03:37:36.000Z,12
Steps,2024-12-04T03:45:41.000Z,2024-12-04T03:46:41.000Z,15
Steps,2024-12-04T04:07:41.000Z,2024-12-04T04:08:41.000Z,7
